fecha,anio,mes,linea,afluencia
10/11/2005,2005,Octubre,Linea 6,0
10/11/2005,2005,Octubre,Linea 7,0
10/11/2005,2005,Octubre,Linea 4,0
10/11/2005,2005,Octubre,Linea 3,0
10/12/2005,2005,Octubre,Linea 6,0
10/12/2005,2005,Octubre,Linea 3,0
10/12/2005,2005,Octubre,Linea 5,0
10/12/2005,2005,Octubre,Linea 7,0
10/12/2005,2005,Octubre,Linea 1,211749
10/12/2005,2005,Octubre,Linea 2,0
10/12/2005,2005,Octubre,Linea 4,0
10/13/2005,2005,Octubre,Linea 7,0
10/13/2005,2005,Octubre,Linea 5,0
10/13/2005,2005,Octubre,Linea 2,0
10/13/2005,2005,Octubre,Linea 3,0
10/13/2005,2005,Octubre,Linea 6,0
10/13/2005,2005,Octubre,Linea 4,0
10/13/2005,2005,Octubre,Linea 1,235016
10/14/2005,2005,Octubre,Linea 1,216301
10/14/2005,2005,Octubre,Linea 4,0
10/14/2005,2005,Octubre,Linea 5,0
10/14/2005,2005,Octubre,Linea 6,0
10/14/2005,2005,Octubre,Linea 3,0
10/14/2005,2005,Octubre,Linea 7,0
10/14/2005,2005,Octubre,Linea 2,0
10/15/2005,2005,Octubre,Linea 1,90167
10/15/2005,2005,Octubre,Linea 7,0
10/15/2005,2005,Octubre,Linea 2,0
10/15/2005,2005,Octubre,Linea 6,0
10/15/2005,2005,Octubre,Linea 3,0
10/15/2005,2005,Octubre,Linea 5,0
10/15/2005,2005,Octubre,Linea 4,0
10/16/2005,2005,Octubre,Linea 7,0
10/16/2005,2005,Octubre,Linea 6,0
10/16/2005,2005,Octubre,Linea 4,0
10/16/2005,2005,Octubre,Linea 5,0
10/16/2005,2005,Octubre,Linea 1,121137
10/16/2005,2005,Octubre,Linea 2,0
10/16/2005,2005,Octubre,Linea 3,0
10/17/2005,2005,Octubre,Linea 1,207076
10/17/2005,2005,Octubre,Linea 7,0
10/17/2005,2005,Octubre,Linea 4,0
10/17/2005,2005,Octubre,Linea 2,0
10/17/2005,2005,Octubre,Linea 6,0
10/17/2005,2005,Octubre,Linea 3,0
10/17/2005,2005,Octubre,Linea 5,0
10/18/2005,2005,Octubre,Linea 3,0
10/18/2005,2005,Octubre,Linea 5,0
10/18/2005,2005,Octubre,Linea 6,0
10/18/2005,2005,Octubre,Linea 7,0
